run_name,backbone,seed,example_id,benchmark_id,domain,task_name,best_adapt_shot,best_adapt_step,zero_task_score,final_task_score,task_gain,zero_task_proxy_score,final_task_proxy_score,proxy_gain,zero_task_margin,final_task_margin,margin_gain,zero_correct_rate,final_correct_rate,still_wrong,crosses_zero_margin,near_threshold_unflipped,gold_label,gold_text,predicted_label_majority,predicted_label_variants,top_competitor_label_majority,top_competitor_text,question_gold_overlap,context_gold_overlap,context_competitor_overlap,context_overlap_gap,gold_competitor_jaccard,support_ids,eval_query_set_ids,heuristic_tags,story_context,segment,choices_json,run_dir
qwen25-seed-55204,Qwen2.5-1.5B-Instruct,55204,ced7d97e-c873-448c-bce0-30274ceac332,story_cloze,narrative,story_cloze_narrative_meta,3,0,0.0,0.0,0.0,0.4893636703491211,0.4893636703491211,0.0,-0.04255159758031368,-0.04255159758031368,0.0,0.0,0.0,True,False,False,B,The teacher was impressed and gave her an A on her exam.,A,A,A,Lauren was excited about going out to lunch soon.,,0.45454545454545453,0.4444444444444444,0.01010101010101011,0.05263157894736842,0faf4829-3b27-42d3-a69f-2d6036b110f3|16ac16d6-41a4-49f4-a3e1-ec242ce8f921|2758e7c5-6100-4182-99d3-e7d9e435a394|b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969,2758e7c5-6100-4182-99d3-e7d9e435a394|81607ad0-83c4-4c23-ad7c-789a149d97c8|b98c114b-d657-49d2-9bd1-912438fadd68|ced7d97e-c873-448c-bce0-30274ceac332,story_context_ambiguous,Story: Lauren was nervous about giving a speech for her French final exam. She arrived to class. It was her turn to give her speech. She finished her speech and felt relieved.,Story: Lauren was nervous about giving a speech for her French final exam. She arrived to class. It was her turn to give her speech. She finished her speech and felt relieved. || Candidate endings: A: Lauren was excited about going out to lunch soon. | B: The teacher was impressed and gave her an A on her exam. || Choose the most coherent ending.,"[{""is_gold"": false, ""is_predicted"": true, ""label"": ""A"", ""probability"": 0.5106362700462341, ""score"": 0.05877947062253952, ""text"": ""Lauren was excited about going out to lunch soon.""}, {""is_gold"": true, ""is_predicted"": false, ""label"": ""B"", ""probability"": 0.4893636703491211, ""score"": 0.016227873042225838, ""text"": ""The teacher was impressed and gave her an A on her exam.""}]",/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v6-case-dump/qwen25-seed-55204
qwen25-seed-55205,Qwen2.5-1.5B-Instruct,55205,f2420b66-049f-4615-b2ba-51a0f6d63c49,story_cloze,narrative,story_cloze_narrative_meta,3,3,0.0,0.0,0.0,0.4816906154155731,0.481648325920105,-4.228949546813965e-05,-0.07327036187052727,-0.07343966513872147,-0.0001693032681941986,0.0,0.0,True,False,False,A,The astronaut felt a surge of excitement.,B,B,B,The astronaut ate a donut.,,0.2857142857142857,0.4,-0.11428571428571432,0.3333333333333333,b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969|b98c114b-d657-49d2-9bd1-912438fadd68|ced7d97e-c873-448c-bce0-30274ceac332,0faf4829-3b27-42d3-a69f-2d6036b110f3|2758e7c5-6100-4182-99d3-e7d9e435a394|f2420b66-049f-4615-b2ba-51a0f6d63c49,story_context_favors_competitor,"Story: The astronaut sat strapped into his chair. His face was cold determination, but he was nervous. He remembered his training and focused on the mission. The rocket booster began to ignite, this was it.","Story: The astronaut sat strapped into his chair. His face was cold determination, but he was nervous. He remembered his training and focused on the mission. The rocket booster began to ignite, this was it. || Candidate endings: A: The astronaut felt a surge of excitement. | B: The astronaut ate a donut. || Choose the most coherent ending.","[{""is_gold"": true, ""is_predicted"": false, ""label"": ""A"", ""probability"": 0.481648325920105, ""score"": -0.01628909632563591, ""text"": ""The astronaut felt a surge of excitement.""}, {""is_gold"": false, ""is_predicted"": true, ""label"": ""B"", ""probability"": 0.518351674079895, ""score"": 0.057150568813085556, ""text"": ""The astronaut ate a donut.""}]",/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v6-case-dump/qwen25-seed-55205
qwen25-seed-55202,Qwen2.5-1.5B-Instruct,55202,16ac16d6-41a4-49f4-a3e1-ec242ce8f921,story_cloze,narrative,story_cloze_narrative_meta,3,3,0.0,0.0,0.0,0.4791147708892822,0.47904330492019653,-7.146596908569336e-05,-0.08358956500887871,-0.08387589640915394,-0.0002863314002752304,0.0,0.0,True,False,False,A,Before long Sarah began getting better at Algebra.,B,B,B,Then Sarah gave up on learning Algebra.,,0.25,0.5714285714285714,-0.3214285714285714,0.15384615384615385,81607ad0-83c4-4c23-ad7c-789a149d97c8|b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969|ced7d97e-c873-448c-bce0-30274ceac332|f2420b66-049f-4615-b2ba-51a0f6d63c49,0faf4829-3b27-42d3-a69f-2d6036b110f3|16ac16d6-41a4-49f4-a3e1-ec242ce8f921|ced7d97e-c873-448c-bce0-30274ceac332|f2420b66-049f-4615-b2ba-51a0f6d63c49,story_context_favors_competitor,"Story: Sarah was learning Algebra on her own. But after several weeks, she didn't improve much. She realized that she didn't set any goals for herself. So everyday, she set a certain goal.","Story: Sarah was learning Algebra on her own. But after several weeks, she didn't improve much. She realized that she didn't set any goals for herself. So everyday, she set a certain goal. || Candidate endings: A: Before long Sarah began getting better at Algebra. | B: Then Sarah gave up on learning Algebra. || Choose the most coherent ending.","[{""is_gold"": true, ""is_predicted"": false, ""label"": ""A"", ""probability"": 0.47904330492019653, ""score"": 0.031248493120074272, ""text"": ""Before long Sarah began getting better at Algebra.""}, {""is_gold"": false, ""is_predicted"": true, ""label"": ""B"", ""probability"": 0.5209566950798035, ""score"": 0.11512438952922821, ""text"": ""Then Sarah gave up on learning Algebra.""}]",/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v6-case-dump/qwen25-seed-55202
qwen25-seed-55204,Qwen2.5-1.5B-Instruct,55204,f2420b66-049f-4615-b2ba-51a0f6d63c49,story_cloze,narrative,story_cloze_narrative_meta,3,0,0.0,0.0,0.0,0.47863349318504333,0.47863349318504333,0.0,-0.08551819622516632,-0.08551819622516632,0.0,0.0,0.0,True,False,False,A,The astronaut felt a surge of excitement.,B,B,B,The astronaut ate a donut.,,0.2857142857142857,0.4,-0.11428571428571432,0.3333333333333333,0faf4829-3b27-42d3-a69f-2d6036b110f3|2758e7c5-6100-4182-99d3-e7d9e435a394|ced7d97e-c873-448c-bce0-30274ceac332,b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969|b98c114b-d657-49d2-9bd1-912438fadd68|f2420b66-049f-4615-b2ba-51a0f6d63c49,story_context_favors_competitor,"Story: The astronaut sat strapped into his chair. His face was cold determination, but he was nervous. He remembered his training and focused on the mission. The rocket booster began to ignite, this was it.","Story: The astronaut sat strapped into his chair. His face was cold determination, but he was nervous. He remembered his training and focused on the mission. The rocket booster began to ignite, this was it. || Candidate endings: A: The astronaut felt a surge of excitement. | B: The astronaut ate a donut. || Choose the most coherent ending.","[{""is_gold"": true, ""is_predicted"": false, ""label"": ""A"", ""probability"": 0.47863349318504333, ""score"": -0.20887987315654755, ""text"": ""The astronaut felt a surge of excitement.""}, {""is_gold"": false, ""is_predicted"": true, ""label"": ""B"", ""probability"": 0.521366536617279, ""score"": -0.12336167693138123, ""text"": ""The astronaut ate a donut.""}]",/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v6-case-dump/qwen25-seed-55204
qwen25-seed-55204,Qwen2.5-1.5B-Instruct,55204,2758e7c5-6100-4182-99d3-e7d9e435a394,story_cloze,narrative,story_cloze_narrative_meta,3,0,0.0,0.0,0.0,0.4608151316642761,0.4608151316642761,0.0,-0.1570616513490677,-0.1570616513490677,0.0,0.0,0.0,True,False,False,A,Ned decided to come back for a visit.,B,B,B,Ned was livid the neighborhood celebrated Halloween.,,0.375,0.5714285714285714,-0.1964285714285714,0.07142857142857142,0faf4829-3b27-42d3-a69f-2d6036b110f3|16ac16d6-41a4-49f4-a3e1-ec242ce8f921|b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969,2758e7c5-6100-4182-99d3-e7d9e435a394|81607ad0-83c4-4c23-ad7c-789a149d97c8|ced7d97e-c873-448c-bce0-30274ceac332,story_context_favors_competitor,Story: Every Halloween Ned had a party at his house. The whole neighborhood looked forward to going to Ned's party. Ned moved away to a different town last year. The people in the neighborhood made Ned's old house a haunted house.,Story: Every Halloween Ned had a party at his house. The whole neighborhood looked forward to going to Ned's party. Ned moved away to a different town last year. The people in the neighborhood made Ned's old house a haunted house. || Candidate endings: A: Ned decided to come back for a visit. | B: Ned was livid the neighborhood celebrated Halloween. || Choose the most coherent ending.,"[{""is_gold"": true, ""is_predicted"": false, ""label"": ""A"", ""probability"": 0.4608151316642761, ""score"": -0.08395767956972122, ""text"": ""Ned decided to come back for a visit.""}, {""is_gold"": false, ""is_predicted"": true, ""label"": ""B"", ""probability"": 0.5391849279403687, ""score"": 0.07310397177934647, ""text"": ""Ned was livid the neighborhood celebrated Halloween.""}]",/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v6-case-dump/qwen25-seed-55204
qwen25-seed-55202,Qwen2.5-1.5B-Instruct,55202,b98c114b-d657-49d2-9bd1-912438fadd68,story_cloze,narrative,story_cloze_narrative_meta,3,3,0.0,0.0,0.0,0.4508761167526245,0.45084381103515625,-3.230571746826172e-05,-0.1971313301473856,-0.19726183079183102,-0.0001305006444454193,0.0,0.0,True,False,False,A,Susan knew the choice she made was difficult but for the best.,B,B,B,Susan was mad because she had no family to turn to.,,0.45454545454545453,0.3,0.15454545454545454,0.16666666666666666,16ac16d6-41a4-49f4-a3e1-ec242ce8f921|2758e7c5-6100-4182-99d3-e7d9e435a394|ced7d97e-c873-448c-bce0-30274ceac332,81607ad0-83c4-4c23-ad7c-789a149d97c8|b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969|b98c114b-d657-49d2-9bd1-912438fadd68,,Story: Susan knew she hurt him by leaving. She knew she couldn't turn back. The next day she packed up and never looked back. She moved back in with her parents for awhile.,Story: Susan knew she hurt him by leaving. She knew she couldn't turn back. The next day she packed up and never looked back. She moved back in with her parents for awhile. || Candidate endings: A: Susan knew the choice she made was difficult but for the best. | B: Susan was mad because she had no family to turn to. || Choose the most coherent ending.,"[{""is_gold"": true, ""is_predicted"": false, ""label"": ""A"", ""probability"": 0.45084381103515625, ""score"": -0.21481887996196747, ""text"": ""Susan knew the choice she made was difficult but for the best.""}, {""is_gold"": false, ""is_predicted"": true, ""label"": ""B"", ""probability"": 0.549156129360199, ""score"": -0.01755704917013645, ""text"": ""Susan was mad because she had no family to turn to.""}]",/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v6-case-dump/qwen25-seed-55202
qwen25-seed-55201,Qwen2.5-1.5B-Instruct,55201,2758e7c5-6100-4182-99d3-e7d9e435a394,story_cloze,narrative,story_cloze_narrative_meta,3,3,0.0,0.0,0.0,0.3935301601886749,0.3932873606681824,-0.0002427995204925537,-0.4324973076581955,-0.4335147738456726,-0.0010174661874771118,0.0,0.0,True,False,False,A,Ned decided to come back for a visit.,B,B,B,Ned was livid the neighborhood celebrated Halloween.,,0.375,0.5714285714285714,-0.1964285714285714,0.07142857142857142,0faf4829-3b27-42d3-a69f-2d6036b110f3|81607ad0-83c4-4c23-ad7c-789a149d97c8|f2420b66-049f-4615-b2ba-51a0f6d63c49,16ac16d6-41a4-49f4-a3e1-ec242ce8f921|2758e7c5-6100-4182-99d3-e7d9e435a394|b98c114b-d657-49d2-9bd1-912438fadd68,story_context_favors_competitor,Story: Every Halloween Ned had a party at his house. The whole neighborhood looked forward to going to Ned's party. Ned moved away to a different town last year. The people in the neighborhood made Ned's old house a haunted house.,Story: Every Halloween Ned had a party at his house. The whole neighborhood looked forward to going to Ned's party. Ned moved away to a different town last year. The people in the neighborhood made Ned's old house a haunted house. || Candidate endings: A: Ned decided to come back for a visit. | B: Ned was livid the neighborhood celebrated Halloween. || Choose the most coherent ending.,"[{""is_gold"": true, ""is_predicted"": false, ""label"": ""A"", ""probability"": 0.3932873606681824, ""score"": -0.15544486045837402, ""text"": ""Ned decided to come back for a visit.""}, {""is_gold"": false, ""is_predicted"": true, ""label"": ""B"", ""probability"": 0.6067126393318176, ""score"": 0.2780699133872986, ""text"": ""Ned was livid the neighborhood celebrated Halloween.""}]",/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v6-case-dump/qwen25-seed-55201
qwen3-seed-55303,Qwen3-8B,55303,b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969,story_cloze,narrative,story_cloze_narrative_meta,3,0,0.0,0.0,0.0,0.49713581800460815,0.49713581800460815,0.0,-0.011456973385065794,-0.011456973385065794,0.0,0.0,0.0,True,False,True,A,He had to buy new ones.,B,B,B,He went running.,,0.3333333333333333,0.3333333333333333,0.0,0.125,0faf4829-3b27-42d3-a69f-2d6036b110f3|b98c114b-d657-49d2-9bd1-912438fadd68|f2420b66-049f-4615-b2ba-51a0f6d63c49,16ac16d6-41a4-49f4-a3e1-ec242ce8f921|81607ad0-83c4-4c23-ad7c-789a149d97c8|b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969,near_rank_flip|story_context_ambiguous,Story: Jason loved his old shoes. He was wearing them when the sole fell off. He tried to glue them back on. What a mess he made.,Story: Jason loved his old shoes. He was wearing them when the sole fell off. He tried to glue them back on. What a mess he made. || Candidate endings: A: He had to buy new ones. | B: He went running. || Choose the most coherent ending.,"[{""is_gold"": true, ""is_predicted"": false, ""label"": ""A"", ""probability"": 0.49713581800460815, ""score"": 0.002069499809294939, ""text"": ""He had to buy new ones.""}, {""is_gold"": false, ""is_predicted"": true, ""label"": ""B"", ""probability"": 0.5028642416000366, ""score"": 0.013526473194360733, ""text"": ""He went running.""}]",/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v6-case-dump/qwen3-seed-55303
qwen3-seed-55303,Qwen3-8B,55303,81607ad0-83c4-4c23-ad7c-789a149d97c8,story_cloze,narrative,story_cloze_narrative_meta,3,0,0.0,0.0,0.0,0.4918422996997833,0.4918422996997833,0.0,-0.03263372555375099,-0.03263372555375099,0.0,0.0,0.0,True,False,False,A,Janet had a huge look of disappointment on her face.,B,B,B,Janet was happy about that.,,0.2,0.4,-0.2,0.07142857142857142,0faf4829-3b27-42d3-a69f-2d6036b110f3|2758e7c5-6100-4182-99d3-e7d9e435a394|b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969|b98c114b-d657-49d2-9bd1-912438fadd68|f2420b66-049f-4615-b2ba-51a0f6d63c49,16ac16d6-41a4-49f4-a3e1-ec242ce8f921|81607ad0-83c4-4c23-ad7c-789a149d97c8|b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969|b98c114b-d657-49d2-9bd1-912438fadd68|f2420b66-049f-4615-b2ba-51a0f6d63c49,story_context_favors_competitor,Story: Janet was excited to get some pancakes. Her favorite fast food joint served them all day. She went there after work. When she got there they told her they were out.,Story: Janet was excited to get some pancakes. Her favorite fast food joint served them all day. She went there after work. When she got there they told her they were out. || Candidate endings: A: Janet had a huge look of disappointment on her face. | B: Janet was happy about that. || Choose the most coherent ending.,"[{""is_gold"": true, ""is_predicted"": false, ""label"": ""A"", ""probability"": 0.4918422996997833, ""score"": 0.045332204550504684, ""text"": ""Janet had a huge look of disappointment on her face.""}, {""is_gold"": false, ""is_predicted"": true, ""label"": ""B"", ""probability"": 0.5081577301025391, ""score"": 0.07796593010425568, ""text"": ""Janet was happy about that.""}]",/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v6-case-dump/qwen3-seed-55303
